doc_id,x,y,category_name,subset
train_comp_graphics_0151,-0.40763506,0.368693,comp.graphics,train
train_comp_graphics_0176,-0.20761858,0.17930903,comp.graphics,train
train_comp_graphics_0232,-0.24562036,0.0038396313,comp.graphics,train
train_comp_graphics_0280,0.029621573,0.17458971,comp.graphics,train
train_comp_graphics_0344,-0.19610699,0.3196622,comp.graphics,train
train_comp_graphics_0371,-0.45538753,0.26106423,comp.graphics,train
train_comp_graphics_0506,-0.15167916,0.3079096,comp.graphics,train
train_comp_graphics_0565,-0.29569274,0.14398311,comp.graphics,train
train_comp_graphics_0567,-0.424371,0.31192327,comp.graphics,train
train_comp_graphics_0577,-0.29934448,0.29365438,comp.graphics,train
train_rec_sport_baseball_0184,0.35949805,0.15447001,rec.sport.baseball,train
train_rec_sport_baseball_0225,0.45620456,0.12765484,rec.sport.baseball,train
train_rec_sport_baseball_0282,0.56950974,0.26462156,rec.sport.baseball,train
train_rec_sport_baseball_0368,0.5982524,0.30333012,rec.sport.baseball,train
train_rec_sport_baseball_0472,0.550053,0.26412982,rec.sport.baseball,train
train_rec_sport_baseball_0518,0.3968185,0.2676807,rec.sport.baseball,train
train_rec_sport_baseball_0520,0.56827134,0.2512246,rec.sport.baseball,train
train_rec_sport_baseball_0556,0.29345006,0.092932016,rec.sport.baseball,train
train_rec_sport_baseball_0588,0.22555725,0.17595696,rec.sport.baseball,train
train_rec_sport_baseball_0593,0.22843394,0.21746877,rec.sport.baseball,train
train_sci_med_0084,0.037776995,-0.23348588,sci.med,train
train_sci_med_0097,0.02132903,-0.1743522,sci.med,train
train_sci_med_0191,0.009639665,-0.030968534,sci.med,train
train_sci_med_0192,0.062853135,-0.21942887,sci.med,train
train_sci_med_0216,-0.04465612,-0.12591282,sci.med,train
train_sci_med_0229,-0.007546866,-0.05456853,sci.med,train
train_sci_med_0271,-0.028351316,-0.14350775,sci.med,train
train_sci_med_0395,0.05737708,-0.12591642,sci.med,train
train_sci_med_0402,-0.17482994,-0.26855743,sci.med,train
train_sci_med_0563,0.047651496,-0.24959089,sci.med,train
train_sci_space_0007,-0.15847768,-0.05882753,sci.space,train
train_sci_space_0087,-0.22659004,-0.106560975,sci.space,train
train_sci_space_0133,-0.30878878,-0.07917902,sci.space,train
train_sci_space_0314,-0.19288617,0.05137621,sci.space,train
train_sci_space_0336,-0.15430038,-0.28311318,sci.space,train
train_sci_space_0347,-0.17315397,-0.33732447,sci.space,train
train_sci_space_0440,-0.04907855,0.00804243,sci.space,train
train_sci_space_0493,-0.2318383,-0.123163514,sci.space,train
train_sci_space_0570,-0.23122956,-0.060757518,sci.space,train
train_sci_space_0592,-0.14402758,-0.17575905,sci.space,train
train_talk_politics_misc_0062,-0.016787594,-0.35445663,talk.politics.misc,train
train_talk_politics_misc_0063,0.14863154,-0.27719954,talk.politics.misc,train
train_talk_politics_misc_0154,0.072915226,-0.26680213,talk.politics.misc,train
train_talk_politics_misc_0194,0.083380535,-0.08343202,talk.politics.misc,train
train_talk_politics_misc_0195,0.115073904,0.002126422,talk.politics.misc,train
train_talk_politics_misc_0337,0.024719654,-0.14328976,talk.politics.misc,train
train_talk_politics_misc_0372,0.023915393,-0.33367977,talk.politics.misc,train
train_talk_politics_misc_0388,0.07320092,-0.12676975,talk.politics.misc,train
train_talk_politics_misc_0425,0.14674182,-0.05823113,talk.politics.misc,train
train_talk_politics_misc_0464,0.08564362,-0.29102582,talk.politics.misc,train
test_comp_graphics_0028,-0.33087066,0.19339125,comp.graphics,test
test_comp_graphics_0045,-0.23348995,0.24942902,comp.graphics,test
test_comp_graphics_0130,-0.29475036,0.33570713,comp.graphics,test
test_comp_graphics_0133,-0.4113988,0.2269226,comp.graphics,test
test_comp_graphics_0144,-0.33897364,0.35855544,comp.graphics,test
test_comp_graphics_0202,-0.32962495,0.23125193,comp.graphics,test
test_comp_graphics_0205,-0.17145263,0.16834491,comp.graphics,test
test_comp_graphics_0251,-0.36551964,0.4066058,comp.graphics,test
test_comp_graphics_0371,-0.37692866,0.21995015,comp.graphics,test
test_comp_graphics_0387,-0.33191645,0.42970514,comp.graphics,test
test_rec_sport_baseball_0028,0.38349766,-0.054846503,rec.sport.baseball,test
test_rec_sport_baseball_0068,0.4834783,0.26144326,rec.sport.baseball,test
test_rec_sport_baseball_0092,0.22207463,0.1666488,rec.sport.baseball,test
test_rec_sport_baseball_0130,0.26539838,-0.231346,rec.sport.baseball,test
test_rec_sport_baseball_0211,0.40218392,0.14412388,rec.sport.baseball,test
test_rec_sport_baseball_0213,0.3723478,0.24268971,rec.sport.baseball,test
test_rec_sport_baseball_0228,0.55295765,0.2435142,rec.sport.baseball,test
test_rec_sport_baseball_0231,0.38609517,0.19830465,rec.sport.baseball,test
test_rec_sport_baseball_0300,0.44331574,0.23328157,rec.sport.baseball,test
test_rec_sport_baseball_0322,0.33277825,0.015684685,rec.sport.baseball,test
test_sci_med_0016,-0.09334535,-0.15908246,sci.med,test
test_sci_med_0051,0.027579328,-0.08835696,sci.med,test
test_sci_med_0067,-0.08727586,-0.19263682,sci.med,test
test_sci_med_0068,-0.122275926,-0.02883455,sci.med,test
test_sci_med_0164,0.058159348,-0.016913433,sci.med,test
test_sci_med_0174,-0.31760123,0.17903909,sci.med,test
test_sci_med_0207,-0.043281905,-0.19826913,sci.med,test
test_sci_med_0222,0.07004533,-0.10697479,sci.med,test
test_sci_med_0243,-0.13196456,0.015998209,sci.med,test
test_sci_med_0252,-0.029305143,-0.23131464,sci.med,test
test_sci_space_0141,-0.005262212,0.025302535,sci.space,test
test_sci_space_0151,-0.07749522,-0.039175626,sci.space,test
test_sci_space_0180,-0.05964894,-0.012798071,sci.space,test
test_sci_space_0237,-0.07960991,-0.24240318,sci.space,test
test_sci_space_0261,0.055085786,-0.1474895,sci.space,test
test_sci_space_0296,-0.11582732,0.071096785,sci.space,test
test_sci_space_0310,-0.17004563,-0.009595281,sci.space,test
test_sci_space_0351,0.007190239,0.03444987,sci.space,test
test_sci_space_0368,-0.13061887,-0.18285714,sci.space,test
test_sci_space_0371,-0.08505538,-0.035446048,sci.space,test
test_talk_politics_misc_0012,0.015335826,-0.2131771,talk.politics.misc,test
test_talk_politics_misc_0037,-0.059049565,-0.32932118,talk.politics.misc,test
test_talk_politics_misc_0121,-0.018309608,-0.14316848,talk.politics.misc,test
test_talk_politics_misc_0163,0.032286886,-0.2457042,talk.politics.misc,test
test_talk_politics_misc_0165,0.037492767,-0.21379179,talk.politics.misc,test
test_talk_politics_misc_0174,0.1194668,-0.1543625,talk.politics.misc,test
test_talk_politics_misc_0175,0.053824473,-0.31951886,talk.politics.misc,test
test_talk_politics_misc_0226,0.14976494,-0.301961,talk.politics.misc,test
test_talk_politics_misc_0268,-0.14670849,-0.26598436,talk.politics.misc,test
test_talk_politics_misc_0288,0.0267266,-0.24589276,talk.politics.misc,test
