iteration,cost
0,300.830533511796
1,283.3979964046603
2,283.3979964046603
3,281.8603800560256
4,281.4374273871021
5,276.52736962660066
6,276.52736962660066
7,275.76726762015574
8,275.76726762015574
9,275.76726762015574
10,275.76726762015574
11,275.76726762015574
12,272.83988262142987
13,272.27534627758143
14,272.27534627758143
15,272.27534627758143
16,268.93918700464036
17,268.101687160358
18,266.39642606132423
19,266.39642606132423
20,265.19284888320266
21,263.8141665678554
22,261.4977162240272
23,261.4977162240272
24,261.4977162240272
25,261.4977162240272
26,261.2410845136055
27,261.0932492758566
28,261.0932492758566
29,258.66178516197886
30,258.66178516197886
31,258.66178516197886
32,258.54482097340264
33,257.67913462966385
34,254.55973988099868
35,254.55973988099868
36,254.55973988099868
37,253.72015313845574
38,252.11948829520097
39,252.11948829520097
40,252.11948829520097
41,252.11948829520097
42,252.11948829520097
43,252.11948829520097
